time,cum_confirm,cum_heal,cum_dead
15/01/2020,41,12,1
16/01/2020,45,15,2
17/01/2020,62,19,2
18/01/2020,121,24,3
19/01/2020,198,25,4
20/01/2020,258,25,6
21/01/2020,365,25,9
22/01/2020,425,28,17
23/01/2020,495,30,23
24/01/2020,572,32,38
25/01/2020,618,40,45
26/01/2020,698,42,63
27/01/2020,1590,42,85
28/01/2020,1905,75,104
29/01/2020,2261,82,129
30/01/2020,2639,103,159
31/01/2020,3215,139,192
01/02/2020,4109,171,224
02/02/2020,5142,224,265
03/02/2020,6384,303,313
04/02/2020,8351,369,362
05/02/2020,10117,432,414
06/02/2020,11618,535,478
07/02/2020,13603,698,545
08/02/2020,14982,877,608
09/02/2020,16902,1045,681
10/02/2020,18454,1207,748
